bus_line,direction,stop_count,route_length_km,avg_inter_stop_distance_km,mean_distance_from_center_km,max_distance_from_center_km
786,direction_0,30,7.271627079579202,0.2507457613648001,5.540196688169387,8.088411753880465
786,direction_1,28,7.142091995366019,0.264521925754297,5.636372838004261,8.088411753880465
012,direction_0,37,8.512390497886056,0.23645529160794598,16.587854147441817,16.96092170474418
228,direction_0,55,14.849481349985687,0.27499039537010533,5.50488636484915,8.56292109439053
228,direction_1,17,4.271583518399083,0.2669739698999427,4.4891884244653095,6.21465297402856
111,direction_0,33,7.310943216102929,0.2284669755032166,5.6202710479952325,6.787272315583379
786F,direction_0,40,9.383362296262542,0.24059903323750112,6.131951153313291,8.064752353310558
786F,direction_1,38,9.011357512033419,0.24355020302793023,6.215561477133997,8.00339415952032
545,direction_0,20,5.224377109703497,0.27496721630018406,4.345474520996687,5.059864912507796
545,direction_1,20,5.107055138019427,0.268792375685233,4.348498210529465,5.0100037057393285
168,direction_0,32,8.668554167537057,0.27963077959796945,3.827999775433734,4.960391890278567
168,direction_1,33,9.079973519688862,0.283749172490277,3.847250602575796,4.960391890278567
86,direction_0,30,7.62891872041948,0.26306616277308553,8.56966657313,11.475817835875679
86,direction_1,32,8.10630784459119,0.26149380143842543,8.904852807675528,11.625341694696964
906,direction_0,42,13.497685014820805,0.3292118296297757,7.611638276932129,11.137538242478891
906,direction_1,41,13.157194709657809,0.3289298677414451,7.664075347413421,11.137085673750665
412,direction_0,37,8.752757570240936,0.24313215472891483,5.327686164737098,6.692326847900109
412,direction_1,36,8.341806944184809,0.23833734126242315,5.141926352780671,6.634208932169432
223,direction_0,42,14.06686726768393,0.34309432360204717,5.874072453885907,11.883719112160001
223,direction_1,40,13.729568701384922,0.3520402231124339,5.84468337797786,11.794339825421478
910,direction_0,25,6.421494024031095,0.26756225100129566,2.807606181348332,4.113900774765445
910,direction_1,24,6.584217279859679,0.28627031651563817,2.965825969089593,4.2009661010586585
716,direction_0,47,11.141260527819183,0.24220131582215607,4.337349605252899,7.041430694117707
716,direction_1,49,11.830649155833637,0.2464718574132008,4.388987204470446,7.0666968422753325
32,direction_0,31,10.30120934493136,0.3433736448310453,4.7941357130517,8.75198968869108
32,direction_1,30,10.259247248036568,0.3537671464840195,4.843886521895235,8.75198968869108
558,direction_0,29,8.034909883675688,0.28696106727413173,7.178148852332499,8.688877778529923
558,direction_1,27,6.822495011908235,0.2624036543041629,6.926158310796513,8.688877778529923
089,direction_0,24,13.727379744527505,0.5968425975881523,12.808262357898064,15.676912656207863
089,direction_1,22,11.126001358440146,0.5298095884971499,12.439008075140366,14.594265253107366
654,direction_0,43,12.359494788634844,0.29427368544368676,9.524710933596852,10.768825141732497
20L,direction_0,24,10.845839665057913,0.47155824630686566,11.31591158427564,12.993510178090025
280,direction_0,36,9.635684618383138,0.27530527481094685,2.296732699525747,4.292901909830566
280,direction_1,35,9.125802078999365,0.2684059434999813,2.203512364206488,4.300279764738768
61,direction_0,35,9.923526087745767,0.2918684143454638,3.612762510557445,6.42159323415316
61,direction_1,37,10.729587518739406,0.2980440977427613,3.454081477444073,6.250227233097154
708,direction_0,39,10.474811986272595,0.2756529470071736,9.950798912454596,12.153696814566421
708,direction_1,38,10.177420413812452,0.27506541658952577,9.804950914836132,12.272453000276563
40,direction_0,16,6.889932326071437,0.4593288217380958,0.9020283609675324,1.6785928140232282
719,direction_0,56,15.717698244476853,0.28577633171776096,6.4697601132588485,10.901971723328256
719,direction_1,52,14.742481045532324,0.2890682557947515,5.968833629521044,10.901971723328256
715,direction_0,34,7.723360317809711,0.23404122175180944,3.088337164408037,5.07002753595067
715,direction_1,32,7.623596947103685,0.24592248216463497,3.0130629192012863,5.087275584843635
779,direction_0,45,11.886420059612378,0.27014591044573577,8.343496047910994,9.8690862253522
070,direction_0,28,20.972953995834054,0.7767760739197798,17.1052646249207,24.40896904974425
070,direction_1,25,20.508645808618777,0.8545269086924491,18.75916198955052,24.364186540964653
714,direction_0,24,9.717795999098875,0.422512869526038,4.199209658765956,8.151434868378802
714,direction_1,24,9.794666406672311,0.4258550611596657,4.095181590612797,8.151434868378802
871,direction_0,24,5.224183574218523,0.22713841627037065,2.9149180018845207,3.30702000376816
443,direction_0,19,6.730548135507584,0.37391934086153245,9.520097327124041,10.534103314392135
C11,direction_0,39,19.56154925147158,0.5147776118808312,10.604566192246526,15.281538581976116
C11,direction_1,40,20.25487876468991,0.5193558657612797,10.518945612232068,15.281538581976116
128,direction_0,30,11.25690160194584,0.3881690207567531,7.955682357036284,10.91860294742203
128,direction_1,26,9.969187089101176,0.39876748356404706,6.93637487091804,10.886304821842423
H,direction_0,31,9.14989026582056,0.30499634219401867,2.6555191172479815,5.07886941655365
H,direction_1,31,9.25360755320907,0.308453585106969,2.4484081941658045,4.95634810831885
3L,direction_0,21,6.904790641561045,0.34523953207805236,1.9973376130933889,2.8924085683620624
3L,direction_1,20,6.725085568442212,0.3539518720232744,1.9469237906400454,2.8924085683620624
916F,direction_0,51,14.211317110017564,0.2842263422003513,5.0032404742228875,8.134943027225264
916F,direction_1,47,11.864758052763708,0.25792952288616755,4.381549679009616,7.524054510579647
649,direction_0,27,7.446972742205936,0.2864220285463822,2.7837938561700573,4.227587868818862
649,direction_1,26,7.238787917104739,0.28955151668418955,2.681129385569937,4.227587868818862
671,direction_0,43,12.649269452807749,0.3011730822097084,5.05388301514419,8.133678609174721
671,direction_1,41,12.846967325372221,0.32117418313430546,5.149529769889741,8.133678609174721
119,direction_0,18,4.258108489079098,0.25047696994582935,0.8130554371809438,1.7384102927023077
775,direction_0,52,14.221353249988134,0.2788500637252575,5.866696667150636,7.910969540845456
775,direction_1,50,13.922870266542233,0.2841402095212701,5.748310346055474,7.943234035258977
C5,direction_0,100,31.629752385215383,0.31949244833550894,9.721507431184849,13.864937623588606
